SU,Area_km2,Park_Area,Region,Moose_Seen,Moose_Tracks,Total_Moose_Estimate
389,4.69793,0,Outside,0,0,0
390,1.01723,0,Outside,0,0,0
391,4.00896,0,Outside,0,0,0
392,4.73165,0,Outside,0,0,0
393,4.73175,0,Outside,0,0,0
394,4.73184,0,Outside,0,0,0
395,4.73194,0,Outside,0,0,0
396,4.73203,0,Outside,0,0,0
397,4.73213,0,Outside,4,2,5
398,4.73223,0,Outside,0,1,1
399,4.73233,0,Outside,0,0,0
400,4.73244,0.49164,Outside,0,0,0
401,4.73254,0.42382,Outside,0,0,0
402,4.73265,0,Outside,0,0,0
403,4.73276,0,Outside,0,0,0
404,4.73287,0,Outside,0,0,0
405,4.73298,0,Outside,0,0,0
406,4.73309,0,Outside,1,5,4
407,4.7332,0,Outside,2,0,2
408,4.73332,0,Outside,6,3,8
409,4.73343,0,Outside,0,1,0
410,3.51431,0,Outside,0,0,0
411,4.29558,0,Outside,0,0,0
412,4.73309,0,Outside,2,1,2
413,4.73319,0,Outside,2,0,2
414,4.73328,0,Outside,0,0,0
415,4.73338,0,Outside,0,0,0
416,4.73347,0,Outside,0,1,1
417,4.73357,0,Outside,3,0,3
418,4.73367,0,Outside,2,0,2
419,4.73377,0,Outside,0,0,0
420,4.73388,0,Outside,0,0,0
421,4.73398,0,Outside,3,0,3
422,4.73409,0,Outside,1,1,2
423,4.7342,0,Outside,0,0,0
424,4.7343,0,Outside,0,0,0
425,4.73442,0,Outside,0,0,0
426,4.73453,0,Outside,0,2,1
427,4.73464,0,Outside,3,1,4
428,4.73476,0,Outside,0,0,0
429,4.73487,0,Outside,0,0,0
430,1.68777,0,Outside,0,0,0
431,0.77233,0,Outside,0,0,0
432,4.73444,0,Outside,0,1,1
433,4.73453,0,Outside,0,0,0
434,4.73462,0,Outside,1,1,2
435,4.73472,0,Outside,0,0,0
436,4.73481,0,Outside,0,0,0
437,4.73491,0,Outside,0,2,1
438,4.73501,0,Outside,0,3,2
439,4.73511,0,Outside,2,2,4
440,4.73521,0,Outside,2,0,2
441,4.73531,0,Outside,0,0,0
442,4.73542,0,Outside,0,1,0
443,4.73553,0,Outside,0,2,1
444,4.73563,0,Outside,0,1,1
445,4.73574,0,Outside,0,1,0
446,4.73585,0,Outside,0,0,0
447,4.73597,0,Outside,0,0,0
448,4.73608,0,Outside,2,1,2
449,4.7362,0,Outside,3,0,3
450,4.40087,0,Outside,0,0,0
451,0.18583,0,Outside,0,0,0
452,2.80545,0,Outside,0,0,0
453,4.73588,0,Outside,0,0,0
454,4.73597,0,Outside,0,0,0
455,4.73606,0,Outside,0,2,1
456,4.73616,0,Outside,0,0,0
457,4.73625,0,Outside,0,2,1
458,4.73635,0,Outside,0,2,1
459,4.73645,0,Outside,1,2,3
460,4.73655,0,Outside,0,0,0
461,4.73665,0,Outside,0,1,1
462,4.73675,0,Outside,2,3,4
463,4.73686,0,Outside,2,4,4
464,4.73696,0,Outside,0,1,1
465,4.73707,0,Outside,0,3,2
466,4.73718,0,Outside,0,1,1
467,4.73729,0,Outside,0,1,1
468,4.73741,0,Outside,0,0,0
469,4.73752,0,Outside,1,0,1
470,4.73764,0,Outside,0,0,0
471,3.13576,0,Outside,0,0,0
472,0.81623,0,Outside,0,0,0
473,4.71467,0,Outside,0,0,0
474,4.73731,0,Outside,0,0,0
475,4.7374,0,Outside,0,0,0
476,4.7375,0,Outside,2,2,4
477,4.73759,0,Outside,0,0,0
478,4.73769,0,Outside,0,1,1
479,4.73779,0,Outside,2,0,2
480,4.73788,0,Outside,0,1,1
481,4.73798,0,Outside,0,1,1
482,4.73809,0,Outside,0,0,0
483,4.73819,0,Outside,0,0,0
484,4.7383,0,Outside,0,0,0
485,4.7384,0,Outside,0,0,0
486,4.73851,0,Outside,0,0,0
487,4.73862,0,Outside,0,1,1
488,4.73873,0,Outside,0,0,0
489,4.73884,0,Outside,0,0,0
490,4.73896,0,Outside,0,1,1
491,4.73907,0,Outside,0,4,2
492,2.24298,0,Outside,0,0,0
493,0.98669,0,Outside,0,0,0
494,4.73866,0,Outside,0,0,0
495,4.73875,0,Outside,0,0,0
496,4.73884,0,Outside,0,0,0
497,4.73893,0,Outside,2,0,2
498,4.73903,0,Outside,2,0,2
499,4.73912,0,Outside,0,0,0
500,4.73922,0,Outside,0,0,0
501,4.73932,0,Outside,2,1,3
502,4.73942,0,Outside,0,1,1
503,4.73952,0,Outside,0,0,0
504,4.73963,0,Outside,0,0,0
505,4.73973,0,Outside,1,0,1
506,4.73984,0,Outside,0,4,3
507,4.73995,0,Outside,0,0,0
508,4.74006,0,Outside,0,1,1
509,4.74017,0,Outside,0,1,1
510,4.74028,0,Outside,0,0,0
511,4.7404,0,Outside,0,0,0
512,4.71781,0,Outside,0,0,0
513,0.63847,0,Outside,0,0,0
514,1.64315,0,Outside,0,0,0
515,4.7401,0,Outside,0,0,0
516,4.74019,0,Outside,0,0,0
517,4.74028,0,Outside,0,0,0
518,4.74037,0,Outside,0,0,0
519,4.74046,0,Outside,0,0,0
520,4.74056,0,Outside,1,0,1
521,4.74066,0,Outside,0,1,1
522,4.74076,0,Outside,2,1,3
523,4.74086,0,Outside,0,1,1
524,4.74096,0,Outside,0,1,1
525,4.74106,0,Outside,0,0,0
526,4.74117,0,Outside,0,3,2
527,4.74128,0,Outside,0,0,0
528,4.74138,0,Outside,0,1,1
529,4.74149,0,Outside,0,1,1
530,4.74161,0,Outside,3,1,4
531,4.74172,0,Outside,0,1,1
532,4.74183,0,Outside,0,0,0
533,4.28608,0,Outside,0,0,0
534,2.99143,0,Outside,0,0,0
535,4.74153,0,Outside,0,0,0
536,4.74162,0,Outside,0,0,0
537,4.74171,0,Outside,2,0,2
538,4.74181,0,Outside,0,0,0
539,4.7419,0,Outside,0,0,0
540,4.742,0,Outside,0,0,0
541,4.74209,0,Outside,1,0,1
542,4.74219,0,Outside,0,0,0
543,4.74229,0,Outside,1,0,1
544,4.7424,0,Outside,2,0,2
545,4.7425,0,Outside,1,0,1
546,4.74261,0,Outside,0,1,1
547,4.74271,0,Outside,0,1,0
548,4.74282,0,Outside,0,1,1
549,4.74293,0,Outside,2,0,2
550,4.74304,0,Outside,0,0,0
551,4.74316,0,Outside,0,0,0
552,4.74327,0,Outside,0,0,0
553,2.81467,0,Outside,0,0,0
554,4.43673,0,Outside,0,0,0
555,4.74297,0,Outside,0,0,0
556,4.74306,0,Outside,1,0,1
557,4.74315,0,Outside,0,0,0
558,4.74324,0,Outside,0,0,0
559,4.74334,0,Outside,0,0,0
560,4.74343,0,Outside,0,0,0
561,4.74353,0,Outside,3,0,3
562,4.74363,0,Outside,0,0,0
563,4.74373,0,Outside,0,0,0
564,4.74383,0,Outside,0,0,0
565,4.74394,0,Outside,0,1,0
566,4.74404,0,Outside,0,0,0
